date,return,cumulative return,mean absolute weight,mean weight,weight of stock  1,weight of stock  2,weight of stock  3,weight of stock  4,weight of stock  5,weight of stock  6,weight of stock  7,weight of stock  8,weight of stock  9,weight of stock  10,weight of stock  11,weight of stock  12,weight of stock  13,weight of stock  14,weight of stock  15,weight of stock  16,weight of stock  17,weight of stock  18,weight of stock  19,weight of stock  20,weight of stock  21,weight of stock  22,weight of stock  23,weight of stock  24,weight of stock  25,weight of stock  26,weight of stock  27,weight of stock  28,weight of stock  29,weight of stock  30,weight of stock  31,weight of stock  32,weight of stock  33,weight of stock  34,weight of stock  35,weight of stock  36,weight of stock  37,weight of stock  38,weight of stock  39,weight of stock  40,weight of stock  41,weight of stock  42,weight of stock  43,weight of stock  44,weight of stock  45,weight of stock  46,weight of stock  47,weight of stock  48,weight of stock  49,weight of stock  50,weight of stock  51,weight of stock  52,weight of stock  53,weight of stock  54,weight of stock  55,weight of stock  56,weight of stock  57,weight of stock  58,weight of stock  59,weight of stock  60,weight of stock  61,weight of stock  62,weight of stock  63,weight of stock  64,weight of stock  65,weight of stock  66,weight of stock  67,weight of stock  68,weight of stock  69,weight of stock  70,weight of stock  71,weight of stock  72,weight of stock  73,weight of stock  74,weight of stock  75,weight of stock  76,weight of stock  77,weight of stock  78,weight of stock  79,weight of stock  80,weight of stock  81,weight of stock  82,weight of stock  83,weight of stock  84,weight of stock  85,weight of stock  86,weight of stock  87,weight of stock  88,weight of stock  89,weight of stock  90,weight of stock  91,weight of stock  92,weight of stock  93,weight of stock  94,weight of stock  95,weight of stock  96,weight of stock  97,weight of stock  98,weight of stock  99,weight of stock  100
20000104,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000105,0.0404371,0.0396409,2.71e-05,-0.0929126,-2.29e-05,-5.41e-05,-5.4e-06,0,-1.59e-05,0,0,9.9e-06,0,2.42e-05,-6.5e-06,0,0,-7.3e-06,0,0,1.68e-05,0,0,1.2e-05,0,0,0,0,0,6.43e-05,-1.27e-05,-0.0001366,0,0,0,0,0,0,-8.6e-05,0,6.35e-05,0,6.65e-05,2.81e-05,-4.34e-05,0,1e-05,3.3e-05,-0.0001429,0,0,0,0,-1.7e-06,0,-5.54e-05,-5.11e-05,0,-3.4e-06,4.34e-05,-1.38e-05,-2.3e-05,-6.03e-05,0.0006205,0,0,0,0,-2.91e-05,-6.2e-06,-3e-06,0,0,-2.8e-06,-2.99e-05,0,0,0,-1.25e-05,-0.0001359,0,1.36e-05,-6.08e-05,0,1.37e-05,-0.0001037,0,0,0,8.17e-05,0,0,-2.44e-05,-5.22e-05,-1.47e-05,0,0,-1.62e-05,-0.0002494,1e-06,0,0,4.7e-05,8.17e-05
20000106,-0.012287,0.0272778,3.02e-05,-0.8558268,-4.7e-05,0,-0.0001162,0,-4.4e-05,0,-5.08e-05,0,-1.43e-05,0,-3.45e-05,-2.64e-05,-6.4e-05,-3.38e-05,0,-1.81e-05,-3.92e-05,0,-1.52e-05,0,0,8.82e-05,0,7.69e-05,0,-6.02e-05,0,-7.1e-06,-4.27e-05,-8.64e-05,-1.39e-05,0,-4.33e-05,-3.68e-05,-0.0001023,-2.85e-05,-1.7e-06,0,-5.95e-05,0,-2.54e-05,0,-4.2e-06,-9.87e-05,0,-0.0004568,0,-2.75e-05,0,-5.2e-05,-3.07e-05,-4.64e-05,0,-6.22e-05,0,-6.62e-05,-4.27e-05,0,0,-1e-05,0,-2.5e-05,-8.57e-05,-2.35e-05,0,-3.11e-05,-2.82e-05,-2.56e-05,-3.81e-05,0,-1.35e-05,0,-3.35e-05,-3.3e-06,-0.0001014,0,0,2.5e-06,-5.31e-05,0,-1.31e-05,-9.03e-05,0,0,0,-2.96e-05,8.4e-06,-3.91e-05,-9.23e-05,-2.15e-05,0,0,0,0,0,-0.0001136,3.42e-05,7.5e-06,0,-2.96e-05
20000107,-0.0093699,0.0178638,2.55e-05,-0.4243304,-3.57e-05,-4.4e-05,-4.97e-05,-0.0001675,-8.4e-06,-5.9e-06,-5.78e-05,-2.32e-05,0,-0.0001821,-9.9e-06,-6.7e-06,0,-5.89e-05,0,2.49e-05,-6.5e-06,-3.54e-05,-6.27e-05,-3.3e-05,0,0.0001811,0,0,-4.4e-06,-1.96e-05,-8.9e-06,0,-7e-07,0,0,-8.26e-05,-4.1e-05,0,0,-5.1e-06,-3.24e-05,0,-2.42e-05,2.68e-05,-4.31e-05,2.62e-05,0,0,0,-5.62e-05,0,-2.2e-06,-7.5e-06,0,0,-1.8e-06,0,1.8e-06,0,1.72e-05,0,-0.0002284,0,0,-0.0001025,-1.51e-05,0,-1.81e-05,6.2e-06,0,0,-4.14e-05,-8.5e-06,-8.79e-05,0,1.62e-05,-5.92e-05,0.000111,0,-1.81e-05,-0.0001003,0,3.16e-05,0,0,0,-1.73e-05,0.0001151,0,0,0,0,0,0,0,0,0,0,0.0001178,0,5.71e-05,0,0,0
20000110,0.0101965,0.0280087,2.21e-05,0.5217615,0,0,0,0,4.15e-05,0,0,5.9e-05,0,4.84e-05,0,4.24e-05,0.0001283,0,6.24e-05,5e-06,0,0,0,0,0,0,0,0,0,-2.08e-05,0,0,0,1.84e-05,6.8e-05,0,0,0,4.93e-05,0,5e-05,2.47e-05,4.74e-05,0,0,4.17e-05,0,0,-5.33e-05,-1.06e-05,4.11e-05,1.51e-05,7.99e-05,0,6.24e-05,0,2.82e-05,0,3.98e-05,0,0,0,5.2e-06,3.53e-05,6.49e-05,0,0,0,0,2.68e-05,0,0,0,-3.85e-05,0,6e-07,0,0,-1.79e-05,0,-3.99e-05,0,-0.0001673,-6.69e-05,2.23e-05,0,3.38e-05,2.84e-05,6.42e-05,3.05e-05,4.27e-05,5.01e-05,0,4.19e-05,2.86e-05,2.05e-05,0.0001583,-3.07e-05,0,1.51e-05,-8.26e-05,2.95e-05,0,3.05e-05
20000111,-0.0003432,0.0276654,2.36e-05,0.7393403,0,6.37e-05,6.47e-05,0,0,0,0,0,4.36e-05,6.47e-05,0,2.91e-05,0,4.51e-05,0,0,0,0,0.0001205,0,4.47e-05,0,0,0,0,9.72e-05,0,0,-1e-05,0,5.53e-05,0,4e-05,0,0,4.04e-05,9.03e-05,0,4.63e-05,7e-07,0,4.46e-05,3.34e-05,4.22e-05,0,2.69e-05,0,0,8.48e-05,5.42e-05,4.23e-05,6.09e-05,0,3.16e-05,0,5.84e-05,0,0,0,0,-8.62e-05,4.25e-05,0,0,7.17e-05,3.95e-05,0,0,0,0,8.86e-05,0,0,6.3e-06,0,-0.0001293,0,0,-7.45e-05,0,0,0,0,0,0,6.49e-05,7.58e-05,-7.2e-06,0,0,0,0,0.0001702,0,0,0,0,0,0.0001004,6.49e-05
20000112,0.0004936,0.0281589,1.79e-05,0.8167401,4.25e-05,0,0,0,0,3.63e-05,0,0,6.24e-05,0,0,0,-1.05e-05,5.01e-05,0,3.83e-05,0,-2e-05,0,0,0,0,3.75e-05,0,4.87e-05,0.0001235,0,0.0001062,0,0,3.91e-05,0,9.2e-05,2.69e-05,0,0,7.48e-05,0,0,0,0,0,0,0,0,5.39e-05,0,0,3.53e-05,3.34e-05,4.63e-05,6.68e-05,0,0,0,0.0001311,0,0,0,2.76e-05,3.43e-05,3.68e-05,0,2.14e-05,0,0,0,0,0,-3.33e-05,7.12e-05,0,0,0,0,-6.99e-05,0,-1.58e-05,0.0001863,0,2.08e-05,0,0,0,-9.3e-06,0,3.26e-05,0,0,1.95e-05,0,0,0,0,0,0,0,3.17e-05,0,-5.2e-06
20000113,0.011554,0.0396466,2.54e-05,0.657366,8.58e-05,0,0,0,0,6.56e-05,0,5.85e-05,6.25e-05,0,4.18e-05,0,0,3.55e-05,1.91e-05,0,5.63e-05,0,0,6.82e-05,-9.3e-06,0,0,6.57e-05,0,0,5.71e-05,0,8.59e-05,6.79e-05,0,2.58e-05,6.57e-05,0,0,6.77e-05,0,1.67e-05,0,-4.28e-05,4.33e-05,0,5.22e-05,0,0,0,6.83e-05,7.17e-05,0,0,0,0,6.99e-05,0,0,0,3.96e-05,6.21e-05,2.56e-05,5.61e-05,6.76e-05,0,0,6.8e-05,0,0,0,0,0,0,0.0001352,4.92e-05,0,-1.71e-05,2.82e-05,0,0,-0.0001063,-8.13e-05,5.8e-05,0,0,0,8.6e-05,0,0,0,5.63e-05,0,3.91e-05,0,5.13e-05,0,0,-0.0001641,0,-1.35e-05,0,0,2.8e-05
20000114,-0.0109553,0.0286308,7.16e-05,0.9797403,0,0,0,0,0,0,0,0,0,0.0001457,0,0.0002071,0,0,0.0001199,0.0001962,0,5.74e-05,0,0.0002548,0.0002224,0.0003379,0.0001059,0,0,0,0,0.0002256,0.0002169,0,0.0001993,0.0001708,0,0,0,0,0,0,0.0001967,0.0001041,0,0.000196,0,0.0002159,0,0.0002693,0,0,0,0.0002033,0,3.78e-05,0.000199,0,0.0001949,0,0,0,0.0001811,0,0.0001258,0.000209,0.0002406,0.0002198,0,0,0,0,0.000201,0,0.0002263,0,0.0001677,0,0,0,0,0.000184,0,0.0001716,0,0,0,0.0002149,0,0.0001726,0,0,0,0,0,0.0002045,0,0,0,0,-7.25e-05,0.0001816,0.0001369,0.0001726
20000118,-0.00778,0.0208204,5.37e-05,-1,0,-7.91e-05,-0.0001063,-0.0001313,-9.53e-05,0,-9.73e-05,0,0,0,-0.0001026,0,-5.64e-05,-7.78e-05,0,0,-0.0001085,-0.0001231,-0.0001448,0,0,0,-9.89e-05,-0.0001742,-0.0001086,-6.13e-05,-5.46e-05,-9.91e-05,0,0,0,0,0,-0.0001108,-0.0001562,0,-0.000129,-7.16e-05,0,-0.0001572,-5.28e-05,0,0,0,0,0,-9.84e-05,-6.21e-05,-0.0001196,-0.0001145,0,0,0,-0.0001009,-9.61e-05,0,-7.41e-05,0,0,-6.97e-05,0,-0.0001052,0,0,-0.000143,-0.0001011,-1.62e-05,-9.27e-05,-0.0001066,0,-0.0001814,-3.03e-05,0,-0.0001774,0,0,-0.0001425,-0.0001298,0,0,0,0,0,0,0,0,0,-0.0001843,0,0,-9.11e-05,-0.0001383,-8.81e-05,0,-0.000299,-8.95e-05,-1.92e-05,-6.1e-05,0,-4.41e-05
