date,return,cumulative return,mean absolute weight,mean weight,weight of stock  1,weight of stock  2,weight of stock  3,weight of stock  4,weight of stock  5,weight of stock  6,weight of stock  7,weight of stock  8,weight of stock  9,weight of stock  10,weight of stock  11,weight of stock  12,weight of stock  13,weight of stock  14,weight of stock  15,weight of stock  16,weight of stock  17,weight of stock  18,weight of stock  19,weight of stock  20,weight of stock  21,weight of stock  22,weight of stock  23,weight of stock  24,weight of stock  25,weight of stock  26,weight of stock  27,weight of stock  28,weight of stock  29,weight of stock  30,weight of stock  31,weight of stock  32,weight of stock  33,weight of stock  34,weight of stock  35,weight of stock  36,weight of stock  37,weight of stock  38,weight of stock  39,weight of stock  40,weight of stock  41,weight of stock  42,weight of stock  43,weight of stock  44,weight of stock  45,weight of stock  46,weight of stock  47,weight of stock  48,weight of stock  49,weight of stock  50,weight of stock  51,weight of stock  52,weight of stock  53,weight of stock  54,weight of stock  55,weight of stock  56,weight of stock  57,weight of stock  58,weight of stock  59,weight of stock  60,weight of stock  61,weight of stock  62,weight of stock  63,weight of stock  64,weight of stock  65,weight of stock  66,weight of stock  67,weight of stock  68,weight of stock  69,weight of stock  70,weight of stock  71,weight of stock  72,weight of stock  73,weight of stock  74,weight of stock  75,weight of stock  76,weight of stock  77,weight of stock  78,weight of stock  79,weight of stock  80,weight of stock  81,weight of stock  82,weight of stock  83,weight of stock  84,weight of stock  85,weight of stock  86,weight of stock  87,weight of stock  88,weight of stock  89,weight of stock  90,weight of stock  91,weight of stock  92,weight of stock  93,weight of stock  94,weight of stock  95,weight of stock  96,weight of stock  97,weight of stock  98,weight of stock  99,weight of stock  100
20000104,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000105,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000106,0.003893,0.0038855,0.0373129,-0.0018026,-0.0033687,0.0046884,-0.0725685,0.0010145,0.004089,0.0033271,-0.0056,0.018941,0.0258451,0.0239741,0.0117563,0.0191389,-0.030082,0.0124663,-0.0250606,0.0315236,0.0038204,0.0325761,0.0173365,-0.0007866,0.0265996,0.153468,0.0473751,0.1333667,0.0035942,-0.0027506,0.0231448,0.0527843,-0.0030692,-0.051174,0.0206626,-0.0069795,0.005828,0.0027868,-0.0489314,0.0166639,0.0405268,0.0517379,-0.0234861,0.0069881,0.0209572,0.0420707,0.0413256,-0.0500758,-0.0588054,-0.4451736,0.0404023,0.0231711,0.0251136,-0.0085158,0.0197275,0.0050259,0.0345495,-0.0184507,0.0161912,-0.0179297,0.0041796,-0.1505282,0.0207003,-0.0365823,-0.0012351,0.0174737,-0.0941503,0.0095713,0.0036528,0.0226178,0.00159,0.0244783,0.0054022,0.0225912,0.0349164,0.0333714,-0.0228006,0.0205926,-0.0679785,0.007001,-0.0789284,0.0264973,0.0009471,-0.108917,0.0368016,-0.0302594,-0.0415491,0.0387115,-0.0589836,-0.0074762,0.0609113,0.0045451,-0.0410967,0.0375684,0.0522363,0.0217244,0.0929512,-0.0354408,-0.1511138,-0.0616813,0.0989332,0.0571464,0.0406088,-0.0074762
20000107,0.001821,0.0057048,0.0423017,0.0226021,-0.0266225,-0.0334745,-0.0556453,-0.1681048,0.0022001,0.0078624,-0.0494894,-0.0142377,-0.0315914,-0.1690997,0.0013378,0.0019844,-0.0030364,-0.0583729,0.0066081,0.0415808,0.0025816,-0.018283,-0.0522419,-0.037872,0.0011504,0.2990433,-0.0640088,0.0442718,0.0026846,-0.0327652,0.0011498,0.1517837,0.0167326,-0.0105537,0.0092957,-0.0651081,-0.0429645,0.002024,0.0341348,0.0023745,-0.0074294,-0.0138552,-0.0208975,0.0442543,-0.0333776,0.0314337,0.0331061,0.0587779,0.0604205,-0.0400213,-0.0137699,0.0099762,0.0011742,0.0166536,0.009763,0.0037294,0.030347,0.0058019,0.0014083,0.0103346,0.0218595,-0.3347781,0.0285741,-0.0204589,-0.0972266,-0.0066644,0.0151562,-0.0049136,0.0192875,-0.0378316,-0.0503503,-0.0456165,0.0019594,-0.0807911,0.1946588,0.0121039,-0.0666213,0.0986897,-0.0144894,-0.0008987,-0.0761535,0.1568823,0.0116315,0.0162116,-0.004968,-0.0568502,0.0017934,0.1212639,0.011269,0.014517,0.011439,-0.0762656,0.1156534,0.0119355,0.0053338,0.0161161,0.0211835,-0.029581,0.1562986,0.0487164,0.0619124,0.0044073,0.0235405,0.014517
20000110,0.0044375,0.0101324,0.0436057,-0.0002055,0.0356433,0.0085767,0.0543975,0.0019067,0.0148095,0.0051253,0.041694,0.0359206,0.0429972,0.0247067,0.036962,0.0158086,0.0944306,-0.0142274,0.0294251,-0.0167193,0.0074251,-0.1428453,-0.099204,0.0257368,0.0797492,0.004647,0.020146,0.0430578,0.0240547,-0.0541961,0.0250449,0.0009883,0.0143586,-0.0077799,0.0332063,-0.0154795,0.0737898,0.0211972,0.0155457,0.0110482,0.0161573,-0.005005,0.0184311,0.0132027,-0.164738,0.0116647,-0.0038087,-0.0125395,-0.0925801,-0.057322,0.006614,-0.0235722,0.0517185,0.0434421,0.0295998,-0.0306087,-0.0013307,0.0146098,0.0146192,0.1350498,-0.0014447,-0.0261646,-0.0322589,0.0081167,0.0435856,0.0156085,0.0347462,0.0162896,0.0256858,-0.0015532,0.1107662,0.0204274,0.017802,-0.0902841,-0.0001637,-0.0341794,-0.0574515,0.0798693,-0.0430777,0.2191069,-0.0728591,-0.2890406,-0.1777051,-0.0732614,-0.0093284,0.0562977,0.011681,-0.0317469,0.0301002,-0.0174185,0.0163157,0.0268488,-0.0763456,0.0040994,-0.0318503,-0.0074657,0.1877906,-0.0527657,0.057192,-0.0206425,-0.1709584,-0.0153301,-0.0880631,-0.0174185
20000111,0.0012719,0.0114036,0.0362541,-0.0039522,0.0068518,0.0220976,0.0067891,0.0113585,-0.0109843,-0.0517432,0.0064554,-0.0105836,-0.0114727,0.0059289,-0.0108385,-0.0246008,0.0342271,-0.0033216,-0.0162601,0.0210939,0.0116097,-0.0219023,0.0984649,-0.0120455,-0.0146608,0.111647,0.0121767,-0.1436346,0.0128066,0.034779,0.008271,-0.011539,-0.0926832,-0.0007988,0.0039343,0.004777,-0.0031394,-0.0102897,-0.0088404,-0.0026161,0.029178,0.0036462,-0.0090761,-0.0522497,0.0102261,-0.009091,-0.0152943,-0.0082868,0.0931195,-0.0269303,-0.0157114,0.0114721,0.030015,0.0037758,0.0228627,0.0082944,-0.0077657,-0.021639,0.0038087,-0.0123834,-0.0106378,-0.0050677,0.0230491,-0.0463571,-0.1578315,-0.0104285,-0.0935427,-0.0035227,0.0254073,-0.0107527,-0.003192,-0.0124189,0.0010236,0.1409843,0.0411992,0.0728234,0.0723068,-0.0526666,-0.0090769,-0.2112184,0.06027,-0.1265072,-0.090259,0.0080192,0.0139246,0.0311017,0.0176175,0.0931576,0.0072212,-0.0002026,0.0234319,-0.0943342,0.0918478,-0.0351874,0.1480918,0.0917619,0.1112535,-0.0096184,-0.0619861,0.0079296,-0.1344732,0.0347173,0.0587323,-0.0002026
20000112,0.0100941,0.021447,0.0283002,0.0023701,0.0100745,-0.0216227,0.0386506,-0.0548031,0.0149366,0.006835,0.0016551,0.003162,0.0293405,-0.0027432,-0.0084794,-0.0113187,-0.0421929,0.0165557,0.008299,0.0028111,-0.0222783,-0.039355,0.0135789,0.0017162,-0.0232924,-0.0051753,0.0098421,0.0013358,0.0236978,0.0825686,0.0146026,0.0901716,-0.0119697,-0.0071504,0.0058935,-0.0097086,0.052594,-0.0019696,-0.013487,0.0055778,0.0314243,0.015843,-0.0074446,0.0081435,0.0552189,0.0042214,-0.0274814,-0.0353914,-0.0029366,0.0240965,0.012081,-0.0058045,-0.0040835,0.0005162,0.0198548,0.0385992,0.0154714,-0.0224563,-0.0113993,0.0891982,-0.0327719,-0.0239636,0.032204,0.0087116,0.0094564,0.0051636,0.009593,-0.0112424,0.0017181,-0.0194288,0.0042102,-0.0280783,0.0002927,-0.067689,0.0290643,0.009182,0.0643989,0.0090834,-0.1475177,-0.1048298,-0.099845,-0.0058632,0.1192633,-0.0031626,-0.0065128,0.0007178,-0.0163438,-0.0141585,-0.0391149,-0.0142444,-0.0026629,0.1726298,-0.0445136,0.0005314,-0.1826007,0.0613996,0.0316912,-0.0033938,0.0794172,-0.0693127,-0.0509886,0.0210661,-0.0166271,-0.0142444
20000113,0.0068924,0.0283158,0.0377263,-0.0380114,0.0496895,0.0085476,0.0242719,-0.1475687,0.0212259,0.036038,0.0225199,0.0238348,0.0197758,0.0195462,0.0055535,0.038469,0.0047266,-0.0066692,-0.0098756,0.0205821,0.0213493,-0.0156103,0.0187144,0.0288933,-0.0725418,0.0207874,0.001682,0.016975,0.0714582,0.0137529,0.0317139,0.0193743,0.0481993,0.0348992,0.0296455,-0.0132297,0.0222147,0.0092421,-0.0161225,0.0226465,0.0037594,-0.0150956,0.0197623,-0.0878397,-0.002339,0.0190346,0.012489,0.0217607,0.0201136,0.0704828,0.0374384,0.031088,0.0376755,0.0335389,-0.0185333,0.0257902,0.0373665,0.0232226,0.0361758,0.0358924,0.0053072,0.0288274,-0.0130798,0.0085851,0.0271178,0.0217441,0.0190971,0.0265669,-0.0190885,0.0474649,-0.0379571,-0.0020772,0.0362354,-0.0499267,0.0777833,0.0126702,0.013984,-0.0560683,0.0054243,0.0296166,-0.3623546,-0.1337474,-0.1519726,0.024892,0.0359967,0.0253147,-0.0434056,0.0377681,-0.0144451,-0.0109978,0.0264468,0.009125,-0.0662787,-0.0010968,-0.030059,0.0107122,-0.0444855,0.0828954,-0.3789174,-0.0130275,-0.0447338,0.0291182,-0.067873,-0.0109978
20000114,-0.0068461,0.0214461,0.0443514,-0.0059089,0.015782,0.0197748,0.0032391,-0.0152884,0.0215055,-0.0058846,0.0323061,0.0423622,0.0151641,0.009863,0.0277242,0.0231325,0.0203805,0.0323561,-0.0796652,-0.0010624,0.0158081,-0.1258892,0.0190773,0.0837803,0.0770275,0.1033152,-0.0800557,-0.0647905,0.024797,-0.0530721,0.0577746,0.0217576,0.0251328,0.0270335,0.0196519,-0.0250054,0.0464222,0.0229894,0.0207742,0.0330396,0.0364913,0.0381825,0.0101853,-0.0753924,0.0032386,-0.0051562,0.0427146,0.1022787,0.0761283,0.0677594,-0.0272815,0.1086226,-0.0143849,0.0240695,-0.0179473,-0.2012609,0.00601,0.0101483,0.0075813,-0.0028618,0.0410085,-0.0089061,-0.006884,0.0117914,-0.0635493,0.0189338,0.1896086,0.0279177,-0.0176918,-0.0213402,0.0907823,-0.1206572,0.0076489,-0.0844573,0.0235289,-0.0072822,-0.0280015,-0.1569603,-0.0448383,0.0045053,-0.0988905,-0.0187207,0.023613,-0.0421058,0.0433892,-0.0163565,0.0195278,0.0169879,0.0317881,-0.0315061,0.0185328,0.0890404,-0.0018419,0.0231187,-0.0056049,0.0053305,0.1045567,-0.1181624,-0.1304582,-0.0113016,-0.3191095,0.0174754,-0.0495436,-0.0315061
20000118,0.0012439,0.0226893,0.0425781,-0.0134985,-0.1998318,0.0057564,-0.0107804,-0.0344867,-0.0039016,-0.0135145,0.0010521,-0.0154591,0.0201963,-0.0130857,-0.0149137,-0.0300495,0.0463002,0.0179493,0.0308293,-0.0036176,-0.0090252,-0.0105712,-0.0444099,-0.0344484,-0.0166851,-0.0605657,0.0003756,-0.204043,-0.0175087,0.037088,0.0496328,-0.0009413,0.105637,0.0479678,-0.0209917,0.042979,0.0427454,-0.0390904,-0.0511635,-0.023955,-0.0176655,0.0272767,-0.0374052,-0.0560294,0.041488,0.036455,0.0870582,0.0245067,-0.16714,0.0268701,0.0073923,0.0374398,-0.0140205,-0.028961,0.0248851,-0.0335062,-0.0338945,-0.0063294,-0.0018091,0.0499948,0.0144534,0.0294597,-0.0368231,0.0239458,-0.0287351,-0.0111766,0.1519308,-0.0165829,-0.0379518,-0.0349646,0.0681193,0.0115463,-0.0143322,0.1882687,-0.0820244,0.0456549,0.031372,-0.0705768,0.0334177,-0.0134688,-0.0267114,-0.0156579,0.1333034,-0.0108404,0.0040521,0.1050688,-0.0152811,0.052359,0.0028021,0.0579547,0.0473221,-0.0846872,0.0178135,-0.0082362,0.0121883,-0.0347532,-0.0013056,-0.1810482,-0.1528826,0.0119183,0.1473029,0.0400843,-0.0098018,0.0579547
