date,return,cumulative return,mean absolute weight,mean weight,weight of stock  1,weight of stock  2,weight of stock  3,weight of stock  4,weight of stock  5,weight of stock  6,weight of stock  7,weight of stock  8,weight of stock  9,weight of stock  10,weight of stock  11,weight of stock  12,weight of stock  13,weight of stock  14,weight of stock  15,weight of stock  16,weight of stock  17,weight of stock  18,weight of stock  19,weight of stock  20,weight of stock  21,weight of stock  22,weight of stock  23,weight of stock  24,weight of stock  25,weight of stock  26,weight of stock  27,weight of stock  28,weight of stock  29,weight of stock  30,weight of stock  31,weight of stock  32,weight of stock  33,weight of stock  34,weight of stock  35,weight of stock  36,weight of stock  37,weight of stock  38,weight of stock  39,weight of stock  40,weight of stock  41,weight of stock  42,weight of stock  43,weight of stock  44,weight of stock  45,weight of stock  46,weight of stock  47,weight of stock  48,weight of stock  49,weight of stock  50,weight of stock  51,weight of stock  52,weight of stock  53,weight of stock  54,weight of stock  55,weight of stock  56,weight of stock  57,weight of stock  58,weight of stock  59,weight of stock  60,weight of stock  61,weight of stock  62,weight of stock  63,weight of stock  64,weight of stock  65,weight of stock  66,weight of stock  67,weight of stock  68,weight of stock  69,weight of stock  70,weight of stock  71,weight of stock  72,weight of stock  73,weight of stock  74,weight of stock  75,weight of stock  76,weight of stock  77,weight of stock  78,weight of stock  79,weight of stock  80,weight of stock  81,weight of stock  82,weight of stock  83,weight of stock  84,weight of stock  85,weight of stock  86,weight of stock  87,weight of stock  88,weight of stock  89,weight of stock  90,weight of stock  91,weight of stock  92,weight of stock  93,weight of stock  94,weight of stock  95,weight of stock  96,weight of stock  97,weight of stock  98,weight of stock  99,weight of stock  100
20000119,0.0008426,-0.0124515,2.24e-05,0.0779606,0,-2.17e-05,0.0002011,-9.5e-05,0,-1.07e-05,-7.31e-05,-7.6e-06,2.75e-05,0,-5.4e-06,0,0,7.45e-05,5.9e-06,2.7e-06,0,0,0,0,1.85e-05,0,0,4.39e-05,0,0,0,0,0,0,0,0,5.84e-05,0,0,0,-3.77e-05,3.02e-05,-8.8e-06,0,0,0,0.0001411,0,-0.000214,0,0,4.1e-05,-4.43e-05,-3.29e-05,2.36e-05,4.57e-05,0,-3.8e-05,0,0.0001521,0,6.03e-05,0,0,0,-8.6e-06,-6e-07,-6.12e-05,0,0,0,0,0,3.49e-05,0,-1.01e-05,0,0,3.39e-05,0,0,0,0,0,2.83e-05,9.66e-05,0,-0.000123,0,2.06e-05,0,-1e-06,0,-4.07e-05,0,0,0,-0.0001994,0,0,0,0,6.77e-05,0
20000120,-0.010641,-0.0231496,4.21e-05,0.2321421,0,0,0.0001305,-1.45e-05,0,-5.8e-06,8.2e-06,1.54e-05,0,2.6e-06,0,-3e-06,0,1.31e-05,5.64e-05,3.88e-05,0,-0.0001461,0,0,0,0,4.19e-05,0,0,0,0,0,4.59e-05,0,0,0.0002466,0.0001746,0,6.28e-05,2.05e-05,0.0001419,2.08e-05,-5.4e-06,2.8e-06,0.0001514,0,0,0,2.87e-05,2.19e-05,0,-7.23e-05,0,0,-0.0002084,0,4.73e-05,0,2.33e-05,0,-7.3e-06,0,5.3e-05,-4.9e-06,0,2.81e-05,0.0002158,0,0,0,0,0,0,-6.98e-05,0,-4.79e-05,0,-0.0002389,-1.05e-05,0,0,-0.0002375,0.0003322,5.47e-05,6.87e-05,0.0002868,-0.0001594,0,3.32e-05,-7.68e-05,1.68e-05,0.0001713,0,0,0,-2.8e-06,0,0,-9.59e-05,0,3.69e-05,-0.0001321,0,-7.68e-05
20000121,-0.0049644,-0.0281263,3.41e-05,0.1491931,0,0,2.05e-05,0,0,0,0,4.84e-05,0,0,0,0,0,-8.38e-05,0,5.65e-05,9.47e-05,0,0,0,5e-06,-5.64e-05,0,8.61e-05,0,1.75e-05,-5e-06,-8.22e-05,0.0001865,5.79e-05,-8.9e-05,0,-0.0002807,0,0,0,0,1.85e-05,0,0,4.96e-05,3.91e-05,6.68e-05,0,0,7.38e-05,-0.0001369,0,4.76e-05,0,4.47e-05,1.88e-05,0,0,0,-8e-06,0,0,0,-0.0001529,0,0,0.0002743,0,5.85e-05,0,0,0,0,0,0,0,-5.23e-05,0,0,8.25e-05,0,8.89e-05,-0.0001532,7.87e-05,4.1e-05,0,0,0,7.4e-06,-5.94e-05,-4.96e-05,0,0,0.0001277,0,8.52e-05,3e-07,0,-1.73e-05,8.04e-05,-4.38e-05,0.0001018,-0.0001799,0
20000124,-0.0135219,-0.0417405,3.1e-05,0.5421029,0,0,0,0.0001191,0,0.0001029,0,2.37e-05,3.6e-05,-4.5e-05,7.02e-05,1.1e-05,0,0,0,0,0,0,9.2e-06,0,5.04e-05,0,0,0.0001016,0,-0.000295,2.72e-05,4.16e-05,-2.11e-05,0,5.08e-05,0,5.46e-05,9.99e-05,-6.24e-05,0,0.000139,4.66e-05,4.58e-05,-5.85e-05,0,0,0,0.0001153,0,6.7e-06,5.2e-06,0.0001013,0,0.0001465,0,0,0,0,3.46e-05,0.000104,3.17e-05,1.07e-05,0,6.28e-05,0.0001771,6.65e-05,0,0,9.8e-06,2.52e-05,-0.0001088,0,0,0,0.0001902,6.02e-05,4.97e-05,0,3.03e-05,2.37e-05,0,0,0,1.72e-05,-1.38e-05,0,0,0,0,0,-6.1e-06,0,0,4.15e-05,0,0,-2.47e-05,-7.39e-05,0,1.46e-05,0,3.45e-05,0,0
20000125,-0.0248726,-0.0669276,3.9e-05,-0.023477,0,0,-0.0001246,3.82e-05,4.44e-05,3.36e-05,0,0,5.93e-05,0,0,0,0,2e-06,-3.26e-05,6.67e-05,0,-6.32e-05,1.61e-05,0,0,0,-0.0001023,0,0,0,3.68e-05,4.13e-05,0,0,0,0,0,4.29e-05,0,5.16e-05,0.0001077,-4.77e-05,0,0,0.0001041,0,-8.79e-05,0,0,-0.0001117,5.57e-05,0.0001107,0,2e-05,5.15e-05,-2.3e-06,0,0,1.26e-05,0,4.91e-05,-1.11e-05,0,7.71e-05,0,3.5e-05,5.77e-05,7.43e-05,0,0,-0.0001139,0,4.4e-06,0,0,-0.0001172,0,-0.0002447,0,0,0.0001395,0.0001979,0,0,9.12e-05,6e-05,-6.9e-06,-0.0001802,-0.0001057,0,0,5.41e-05,0,0,0,0,0.0001061,-0.0001064,-0.0004584,-8.11e-05,0,0,0,6.5e-05
20000126,-0.0099157,-0.0768928,4.41e-05,0.0535997,0,0,-0.0001397,0,-9.7e-06,0,-5.8e-05,0,0,-0.0001087,0,0,-0.0003498,0,-4.91e-05,0,3.83e-05,0.000433,-1.95e-05,-4.81e-05,0,0,0,0,-5.68e-05,0.0001364,7.1e-06,0.0002196,0,3.79e-05,8.72e-05,3.02e-05,-6.7e-05,0,-0.0001052,-5.33e-05,-8.69e-05,0,-1.8e-05,0,-2.6e-05,0,-2.08e-05,0,-0.0003329,0,5.11e-05,-2.93e-05,0,0,-1.26e-05,0,-4.1e-06,0,0,0,0,-8.26e-05,0,1e-06,0.0002316,-1.96e-05,0,0,0,0,0,0,0,0,0.0001184,2.57e-05,0.0001664,0,0.0001101,0,0,0,0,0.0001343,0,0,0,0,0,4.09e-05,0,-0.000235,0,5.72e-05,0.0002996,6.89e-05,-0.0001544,0,0,2.89e-05,0,0,0,0
20000127,-0.0110049,-0.0879587,3.53e-05,0.5589867,5.12e-05,0,0,0,6.6e-06,0,0,0,0,-0.0002944,0,0,-1.72e-05,4.14e-05,0,-9.49e-05,4.58e-05,0,0,0,0,-0.0001072,8.9e-05,-4.35e-05,0,2.14e-05,0,-7.9e-06,0.0002277,0,0,6e-06,0,4.47e-05,0,7.28e-05,4.61e-05,0,0,0,0,0,-2.76e-05,-3.57e-05,0,0,-1.34e-05,0,3.57e-05,0,0,0.0001723,0,8.75e-05,0,0.0002247,0,5.66e-05,5.1e-06,2.82e-05,5.45e-05,0,-7.88e-05,8.01e-05,0,9.89e-05,0.0001583,-5e-06,0,0,0,0,5.75e-05,0,3e-05,0,0.0001698,0,0.0003733,0,3.33e-05,0,8.32e-05,0,0.000176,5.9e-05,0,0,0,0,8.29e-05,0,-5.39e-05,0,0,3.58e-05,0,0,0,0
20000128,0.0034856,-0.0844792,2.92e-05,-0.2559422,0,-3.77e-05,1.67e-05,-7.33e-05,0,-6.66e-05,0,0,0,0,-3.9e-05,-3.19e-05,0,5.45e-05,0,0,0,0,0,-7.9e-06,0,-8.47e-05,0,0,0,0.0002188,2e-06,-7.63e-05,0,0,-0.000156,9.6e-06,0,-6.41e-05,0,-1.82e-05,0,0,0,0,0,0,0,3.21e-05,0,5.25e-05,0,0,-4.04e-05,-4.41e-05,2.1e-05,4e-06,0,-4.32e-05,-4.04e-05,0.000334,-2.67e-05,0,0,-4e-07,-6.02e-05,-2.92e-05,-0.0001024,0,0,-9.64e-05,-3.7e-05,0,-2.63e-05,0,0.0001224,0,0,-6.15e-05,0,0,0,-1.19e-05,0,-0.0001439,-5.37e-05,0,-4.89e-05,-1.99e-05,-0.0001414,0.0002173,0,0,0,-0.00012,0,0,0,-2.77e-05,0,0,0,0,0,0
20000131,-0.0037054,-0.0881914,3.99e-05,-0.1743338,-8.17e-05,6.8e-05,0,0,1.02e-05,0,0,0,0,-0.000123,0,0,0,-3.59e-05,0,5.52e-05,-1.82e-05,3.22e-05,-6.16e-05,3.2e-05,9.56e-05,0,0.0001189,-2.5e-05,-4.1e-06,-0.0001057,0,0.000144,6.9e-06,0,0.0001089,-9.8e-06,0,0,5.6e-06,-1.18e-05,0,0,-3.2e-06,0,3.03e-05,0,3.77e-05,2.52e-05,-0.0004628,0,0,-1.25e-05,0,0,2.59e-05,0.0001121,-2.31e-05,0,-2.9e-05,0,-1.3e-06,0,-0.0001017,8.97e-05,0,0,-1.38e-05,0,0,0,1.74e-05,0,-1.32e-05,-7.83e-05,2.46e-05,0,-0.0003089,0,0,-0.0002384,0,0,0,0,0,4.4e-06,5.05e-05,-2.1e-05,0.0003571,2e-06,-2.25e-05,-2.01e-05,-6.6e-06,0,0.0001244,1.96e-05,-6.3e-06,-0.0002377,-0.0001683,-9.99e-05,0,0,5.08e-05,0
20000201,0.0128894,-0.0753844,4.19e-05,-0.3376815,7.7e-05,0,0,-1.54e-05,0,-2.5e-06,-4.8e-06,4.39e-05,0,0,-2.79e-05,0,-3.19e-05,0,0,-6.35e-05,6.7e-06,-3.53e-05,0,0,0,-0.0004063,0,0,-1.68e-05,0,-1.13e-05,5.05e-05,1.24e-05,-3.04e-05,0,0,0.0001009,0.0001006,3.8e-06,0,-0.0001076,3.45e-05,-2.12e-05,-2.92e-05,0,0,0.0002546,0,0,-1.35e-05,-3.4e-06,7.87e-05,0,0,0,-4.3e-05,0,0,-3.03e-05,2.64e-05,8e-06,0,-1.65e-05,0,-2.98e-05,1.26e-05,-0.0009979,-4.99e-05,0,-4.1e-06,0,0,-1.72e-05,-9e-07,-5.97e-05,0,0,0.0003652,-1.71e-05,0,0,0,0,9.01e-05,0,0,0,-0.0001242,-4.98e-05,-0.000123,0,-0.0002489,0,-1.14e-05,0,-3.32e-05,0,0,0,0,0.0001217,-1.6e-06,0,-0.000123
